taxid,Type,Type_PS,Species,Habitat,Database,SResolution,TResolution
1000736460,Alphaherpesvirus,Alphaherpesvirus,Macacine alphaherpesvirus 1,Reference genome,IMGVR,Defined,Defined
1000735620,Alphaherpesvirus,Alphaherpesvirus,Meleagrid alphaherpesvirus 1,Reference genome,IMGVR,Defined,Defined
1000736585,Alphaherpesvirus,Alphaherpesvirus,Psittacid alphaherpesvirus 1,Reference genome,IMGVR,Defined,Defined
1000738700,Alphaherpesvirus,Alphaherpesvirus,Saimiriine alphaherpesvirus 1,Reference genome,IMGVR,Defined,Defined
2169402,Alphaherpesvirus,Alphaherpesvirus,Sphenicid alphaherpesvirus 1,Reference genome,NCBI,Defined,Defined
1000736775,Alphaherpesvirus,Alphaherpesvirus,Suid alphaherpesvirus 1,Reference genome,IMGVR,Defined,Defined
432587,Alphanudivirus,Alphanudivirus,Gryllus bimaculatus nudivirus,Reference genome,NCBI,Defined,Defined
1000752214,Alphaproteobacteria phage,Alphaproteobacteria phage,Alphaproteobacteria phage 1,Curated prophage,IMGVR,Defined,Defined
59301,Alphavirus,Alphavirus,Mayaro virus,Reference genome,NCBI,Defined,Defined
1000736648,Ambystoma virus,Ambystoma virus,Ambystoma tigrinum virus,Reference genome,IMGVR,Defined,Defined
1000752100,Amycolatopsis phage,Amycolatopsis phage,Amycolatopsis phage 1,Curated prophage,IMGVR,Defined,Defined
1000529447,Anaerococcus phage,Anaerococcus phage,Anaerococcus phage 1,Host-associated(human),IMGVR,Defined,Defined
1000579577,Anaerococcus phage,Anaerococcus phage,Anaerococcus phage 2,Host-associated(human),IMGVR,Defined,Defined
1000321159,Anaeroglobus phage,Anaeroglobus phage,Anaeroglobus phage 1,Host-associated(human),IMGVR,Defined,Defined
1000321214,Anaeroglobus phage,Anaeroglobus phage,Anaeroglobus phage 2,Host-associated(human),IMGVR,Defined,Defined
1000751979,Anaeromusa phage,Anaeromusa phage,Anaeromusa phage 1,Curated prophage,IMGVR,Defined,Defined
1000344203,Anaerostipes phage,Anaerostipes phage,Anaerostipes phage 1,Host-associated(human),IMGVR,Defined,Defined
1000749145,Anaerostipes phage,Anaerostipes phage,Anaerostipes phage 2,Curated prophage,IMGVR,Defined,Defined
1000748068,Aneurinibacillus phage,Aneurinibacillus phage,Aneurinibacillus phage 1,Curated prophage,IMGVR,Defined,Defined
1000752245,Aneurinimonas phage,Aneurinimonas phage,Aneurinimonas phage 1,Curated prophage,IMGVR,Defined,Defined
1000759353,Aneurinimonas phage,Aneurinimonas phage,Aneurinimonas phage 2,Curated prophage,IMGVR,Defined,Defined
1100043,Apis filamentous virus,Apis filamentous virus,Apis mellifera filamentous virus,Reference genome,NCBI,Defined,Defined
1000583756,Aquisalimonas phage,Aquisalimonas phage,Aquisalimonas phage 1,Engineered,IMGVR,Defined,Defined
1000735713,Archaea virus,Archaea virus,Sulfolobus islandicus filamentous virus,Reference genome,IMGVR,Defined,Defined
1000736785,Archaea virus,Archaea virus,Sulfolobus virus STSV1,Reference genome,IMGVR,Defined,Defined
